u,look_ahead,max_error,reached_flg,steps_to_finish,mean_error,std_error
20,5,0.212718999117496,1,11321,0.0540682139841411,0.0496810118267523
20,10,0.481794113000742,1,11288,0.124076869047569,0.146505997534465
20,15,1.02593644208543,1,11238,0.25670520504492,0.30754243312322
20,20,1.72651935969619,1,11188,0.432263971511576,0.490308740200632
20,25,2.53448965714045,1,11127,0.594928402481919,0.704445602739681
20,30,3.4598633201029,1,11060,0.788008691535359,0.984177077729603
30,5,0.163715271047551,1,7555,0.0399966350924843,0.034436055839714
30,10,0.431919243488164,1,7541,0.0823244552005954,0.107949115032213
30,15,0.941254925369983,1,7509,0.163304554240684,0.244288633214911
30,20,1.63280085686171,1,7474,0.276383019969652,0.416023643341841
30,25,2.45455987721469,1,7429,0.38264371489044,0.608975502619208
30,30,3.40867004142458,1,7381,0.512045032577144,0.860656954665695
40,5,0.225603124491408,1,5685,0.0519263247085867,0.0456739858753571
40,10,0.361992742942468,1,5688,0.0615392385214668,0.0802019939108739
40,15,0.728903508480594,1,5662,0.104089635695198,0.161186164169134
40,20,1.38785856692156,1,5629,0.182102594433474,0.315466908281738
40,25,2.22811121608467,1,5588,0.257514017871546,0.492423751622504
40,30,3.25207301276429,1,5545,0.355140497381241,0.731547263671301
50,5,4.26088758846718,0,0,0.514475114887684,0.926445141566717
50,10,9.07700835311168,1,6185,2.34115324047141,2.34104241003637
50,15,1.42192804667934,1,4624,0.171926866112694,0.2963578885552
50,20,0.718803621327817,1,4546,0.10587498318764,0.164507868457123
50,25,1.59347885067454,1,4495,0.149247045333218,0.313800349798685
50,30,2.81030172961343,1,4451,0.234671959788973,0.56738753045643
60,5,3.90295569723056,1,8881,1.01474346701944,1.08392451326209
60,10,12.1478187896565,1,7139,3.98241553576344,3.7071350015671
60,15,8.66772279527424,1,8436,2.87502000051105,2.35112332728515
60,20,6.97105833852955,1,3875,0.562689104452966,0.93996148669649
60,25,10.368141285168,1,3780,0.563826526991915,1.41566261207789
60,30,13.422893532585,1,3728,0.830212148218015,2.12209004958904
70,5,14.1573502760606,1,9997,3.81364291264766,4.99626960463161
70,10,23.0328935586639,1,14902,10.3311302029188,9.12886693392552
70,20,43.3701410733762,0,0,4.80452455405687,8.73557079353711
70,25,48.5085333468145,1,3259,4.92399740184952,10.4181552637961
70,30,50.4789414134206,1,3212,5.18206301074055,11.0720542654724
80,20,272.40014847088,0,0,117.383420687734,83.142235206489
80,25,274.33364014624,0,0,119.103298509058,83.7863483770901
80,30,271.294457765966,0,0,117.576736777905,82.8485097308721
