u,look_ahead,max_error,reached_flg,steps_to_finish,mean_error,std_error
20,1,0.0618568726560812,1,11355,0.0320160880690989,0.0134515323526253
20,2,0.0931580853254947,1,11352,0.0360249103972212,0.0167208005220941
20,3,0.157016344068133,1,11346,0.050315394595077,0.0306644863602001
20,4,0.26547393693251,1,11332,0.0780927264176235,0.0577760473721234
20,5,0.405968548415165,1,11310,0.114205509610665,0.096100007935038
20,10,1.38655343370175,1,11176,0.343238488492156,0.35750236775245
20,15,2.28521601614137,1,11079,0.605970428848747,0.625948981384239
20,20,2.99241619033646,1,11013,0.896344098037801,0.87610410340382
20,25,3.50457830899544,1,10966,1.24296993288848,1.05996448793652
20,30,4.04388716317479,1,10928,1.91334734095509,1.07116246596926
30,1,17.0650452632826,1,8093,4.22769305468717,5.5916350017597
30,2,0.130803119187733,1,7576,0.0379081328565709,0.0212655668784932
30,3,0.143933344756872,1,7577,0.0482876796467374,0.0251429036685949
30,4,0.201432870828525,1,7569,0.0647960309084303,0.0384344251374672
30,5,0.302303561953442,1,7558,0.0914982080823651,0.0624620661273625
30,10,1.28060095668405,1,7465,0.252729185613369,0.279815124050287
30,15,2.20560169470188,1,7394,0.437276636512415,0.523610682336662
30,20,2.89337419457661,1,7349,0.636322317697516,0.746166683726767
30,25,3.50227673988604,1,7312,0.897779773856838,0.999060176161888
30,30,4.0307667273275,1,7287,1.5352153042785,1.03119966655688
40,1,13.6190795976621,1,8315,4.65405038282504,4.19273344172984
40,2,0.549932932625529,1,5713,0.0649183464707616,0.0988265037341708
40,3,0.421531992855134,1,5714,0.0682977088204845,0.0835522973509115
40,4,0.373543041120802,1,5714,0.083168860260204,0.0819636636462605
40,5,0.457943472206982,1,5704,0.0963653550991289,0.0856495017074469
40,10,1.09345663752179,1,5617,0.207454809384506,0.210278136363279
40,15,2.09288764822395,1,5555,0.352439418777724,0.429484969525043
40,20,2.81201383670761,1,5519,0.505181542424361,0.636890771876163
40,25,3.29243914385271,1,5496,0.64897664243516,0.809388660046756
40,30,3.98893358402656,1,5472,0.882645914067621,1.08604834829191
50,1,7.4844280952537,1,12535,2.46454856340508,1.9737133203595
50,2,6.36531235954111,1,8110,2.20695018541233,1.67428382805317
50,3,12.3028739779577,1,7167,3.30031226160032,3.3029228539007
50,4,3.92114707011354,1,6996,0.498286891059663,0.881061866808035
50,5,21.0006321825932,0,0,8.93185958618963,7.79359664139188
50,10,1.05453372111271,1,4523,0.186270242388026,0.219062965929099
50,15,1.93720041666109,1,4458,0.299821847342629,0.34963961825208
50,20,2.71955900975653,1,4425,0.427897044279841,0.543754816946488
50,25,3.32354504549359,1,4404,0.560185481452895,0.72681813976588
50,30,3.77677870607854,1,4391,0.675011911024825,0.875696020038577
60,1,8.28804764067218,1,9612,2.3513056962687,2.15676815903958
60,2,7.93850886658624,1,8110,2.18938514463713,2.0359219619366
60,3,12.8998008129613,1,13364,4.58591891796694,3.53851592318436
60,4,16.1434433024961,1,7832,5.37892647298901,5.14645574366426
60,5,11.4725054093153,0,0,4.94780894750956,3.78747514892405
60,10,2.38696471474345,1,3830,0.341679753568199,0.514555894540081
60,15,1.91247858082015,1,3735,0.293094436442514,0.346766819022801
60,20,2.62502875192359,1,3698,0.37169400112836,0.477219902969383
60,25,3.25986239209737,1,3678,0.485543150220416,0.658901583820981
60,30,3.85612670950654,1,3664,0.608390152739889,0.853061392240736
70,15,2.27700684574515,1,3224,0.363226597399734,0.467611843648637
70,20,2.88920497406723,1,3183,0.449959802192093,0.551127302628579
70,25,3.22220973805862,1,3163,0.462858350476528,0.631330516913872
70,30,3.9142653297506,1,3150,0.591196927386911,0.840548924717738
80,15,3.04972335309587,1,2845,0.673492404891501,0.863375671149589
80,20,2.91929663191553,1,2801,0.434698837858577,0.546868957693407
80,25,3.30190280050397,1,2779,0.456741741239258,0.62356650442112
80,30,3.94574554579404,1,2766,0.585281612342756,0.831056695450325
90,20,3.4114636555799,1,2508,0.531332016471914,0.693441480106127
90,25,3.54831050578654,1,2485,0.491035846379547,0.652157190704499
90,30,4.08568945744882,1,2471,0.58128843046188,0.841816178062761
100,20,4.01738096688633,1,2278,0.738636040203929,0.944759793827873
100,25,4.13204864464811,1,2254,0.653816576176915,0.885377984509628
100,30,4.34354358822183,1,2240,0.638981464334651,0.901830103651216
