u,look_ahead,max_error,reached_flg,steps_to_finish,mean_error,std_error
20,3,0.129675597608527,1,11331,0.0392210948127437,0.0274466850971577
20,10,0.481794113000742,1,11288,0.124076869047569,0.146505997534465
20,15,1.02593644208543,1,11238,0.25670520504492,0.30754243312322
20,20,1.72651935969619,1,11188,0.432263971511576,0.490308740200632
20,25,2.53448965714045,1,11127,0.594928402481919,0.704445602739681
20,30,3.4598633201029,1,11060,0.788008691535359,0.984177077729603
30,3,0.107915084599405,1,7558,0.0315326378413203,0.0197586820316532
30,10,0.431919243488164,1,7541,0.0823244552005954,0.107949115032213
30,15,0.941254925369983,1,7509,0.163304554240684,0.244288633214911
30,20,1.63280085686171,1,7474,0.276383019969652,0.416023643341841
30,25,2.45455987721469,1,7429,0.38264371489044,0.608975502619208
30,30,3.40867004142458,1,7381,0.512045032577144,0.860656954665695
40,3,9.776149667526,1,13036,1.98260893701138,2.87280249878231
40,10,0.361992742942468,1,5688,0.0615392385214668,0.0802019939108739
40,15,0.728903508480594,1,5662,0.104089635695198,0.161186164169134
40,20,1.38785856692156,1,5629,0.182102594433474,0.315466908281738
40,25,2.22811121608467,1,5588,0.257514017871546,0.492423751622504
40,30,3.25207301276429,1,5545,0.355140497381241,0.731547263671301
50,3,6.19933630470246,1,8463,0.659469016147553,1.51465294110161
50,10,9.07700835311168,1,6185,2.34115324047141,2.34104241003637
50,15,1.42192804667934,1,4624,0.171926866112694,0.2963578885552
50,20,0.718803621327817,1,4546,0.10587498318764,0.164507868457123
50,25,1.59347885067454,1,4495,0.149247045333218,0.313800349798685
50,30,2.81030172961343,1,4451,0.234671959788973,0.56738753045643
60,3,6.32043616668388,1,8047,1.31289385377815,1.71600479484696
60,10,12.1478187896565,1,7139,3.98241553576344,3.7071350015671
60,15,8.66772279527424,1,8436,2.87502000051105,2.35112332728515
60,20,3.2567429215575,1,3875,0.476413623060165,0.702276161956107
60,25,5.81963757260818,1,3780,0.381542973737555,0.797695350146201
60,30,9.0740087804329,1,3728,0.577337490281045,1.38193642250261
70,3,6.05875267187096,1,8905,1.41711717034005,1.62302995806641
70,10,23.0328935586639,1,14902,10.3311302029188,9.12886693392552
70,20,6.25750806356092,0,0,1.81320654326751,1.65165720340945
70,25,4.14466713615026,1,3259,1.04187672651016,1.15762310015339
70,30,4.4459637553568,1,3212,0.928700228754569,1.01579683621357
80,20,272.40014847088,0,0,117.383420687734,83.142235206489
80,25,274.33364014624,0,0,119.103298509058,83.7863483770901
80,30,271.294457765966,0,0,117.576736777905,82.8485097308721
